ref_area,indicator,source,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1994,2595,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1994,2595,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1995,2959,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1995,2959,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1996,3150,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1996,3150,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1997,2133,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1997,2133,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1998,2380,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1998,2380,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1999,2569,,,T13:149_I4:219,
ANT,INJ_NFTL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1999,2569,,,T13:149_I4:219,
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,1997,7088,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,1997,7088,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,1997,7326,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,1997,7658,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,1997,12199,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,1997,5705,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,1997,15811,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,1997,5386,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,1997,6302,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,1997,3647,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,1997,3530,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,1998,7054,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,1998,7054,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,1998,7977,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,1998,6857,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,1998,11835,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,1998,5673,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,1998,16176,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,1998,6510,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,1998,7034,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,1998,3985,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,1998,3525,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,1999,8075,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,1999,8075,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,1999,10793,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,1999,8487,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,1999,13598,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,1999,7162,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,1999,19901,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,1999,7862,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,1999,8351,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,1999,4604,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,1999,4030,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,2000,7747,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,2000,7747,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,2000,10812,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,2000,7665,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,2000,12715,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,2000,6337,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,2000,16536,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,2000,8433,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,2000,8895,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,2000,5162,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,2000,4441,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,2002,6240,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,2002,6240,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,2002,10750,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,2002,5690,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,2002,9890,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,2002,5540,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,2002,11930,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,2002,6820,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,2002,8560,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,2002,4410,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,2002,3930,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_0,2002,7130,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,2003,7270,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,2003,7270,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,2003,11270,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,2003,6580,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,2003,11970,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,2003,5790,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,2003,15620,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,2003,7570,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,2003,8900,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,2003,5430,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,2003,4410,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_0,2003,6830,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,2004,8020,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,2004,8020,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,2004,12050,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,2004,7190,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,2004,13120,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,2004,5710,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,2004,18310,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,2004,8090,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,2004,8950,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,2004,6460,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,2004,4730,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_0,2004,5510,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,2005,8150,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,2005,8150,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,2005,11400,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,2005,7300,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,2005,12830,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,2005,6060,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,2005,19130,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,2005,8000,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,2005,8770,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,2005,6530,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,2005,4880,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_0,2005,8510,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,2006,8070,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,2006,8070,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,2006,11620,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,2006,7320,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,2006,12250,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,2006,5850,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,2006,19320,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,2006,8050,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,2006,8740,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,2006,6340,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,2006,4770,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_0,2006,7620,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,2007,8250,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,2007,8250,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_1,2007,11170,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_2,2007,8080,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_3,2007,12440,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_4,2007,5790,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_5,2007,18490,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_6,2007,8100,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_7,2007,8970,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_8,2007,6860,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_9,2007,5010,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FA:865,ECO_ISIC2_0,2007,6970,,,T13:149_I4:219,S3:26
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2009,7288.23,,,T13:149_T14:154_I2:1681,
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_ISIC4_TOTAL,2009,7288.23,,,T13:149_T14:154_I2:1681,
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2010,7131.51,,,T13:149_T14:154_I2:1681,
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_ISIC4_TOTAL,2010,7131.51,,,T13:149_T14:154_I2:1681,
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2011,6408.17,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_AGR,2011,8984.23,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MAN,2011,8723.17,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_CON,2011,12975.2,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MEL,2011,5194.35,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MKT,2011,5242.19,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_PUB,2011,4965.99,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_X,2011,13424.33,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2012,5319.9,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_AGR,2012,8482.01,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MAN,2012,8088.61,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_CON,2012,11190.24,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MEL,2012,4957.62,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MKT,2012,4854.93,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_PUB,2012,3551.09,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_X,2012,13863.77,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2014,4676.6,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_AGR,2014,7895.36,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MAN,2014,7388.16,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_CON,2014,10680.31,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MEL,2014,5459.54,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MKT,2014,4559.84,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_PUB,2014,2948.65,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_X,2014,2736.84,,,T13:149_T14:154_I2:1681,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2015,4544.08,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_AGR,2015,7555.79,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MAN,2015,7121.59,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_CON,2015,10659.93,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MEL,2015,5183.27,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MKT,2015,4323.98,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_PUB,2015,2911.93,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_X,2015,5360.82,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2016,4193.11,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_AGR,2016,7176.16,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MAN,2016,6576.23,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_CON,2016,9562.87,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MEL,2016,4702.53,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MKT,2016,3952.78,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_PUB,2016,2805.47,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_X,2016,10791.37,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2017,3989.91,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_AGR,2017,6922.67,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MAN,2017,6223.26,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_CON,2017,9346.57,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MEL,2017,4312.82,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MKT,2017,3741.41,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_PUB,2017,2669.1,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_X,2017,2222.22,,,T13:149_T14:154,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_TOTAL,2018,3771.17,,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_AGR,2018,6654.3,,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MAN,2018,5964.75,,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MANEL,2018,4165.89,,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_CON,2018,8855.24,,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_MKT,2018,3476.67,,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_PUB,2018,2523.39,,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARG,INJ_NFTL_ECO_RT,FX:154,ECO_AGGREGATE_X,2018,5194.81,,,T13:149_T14:154_I2:1681_I5:221,S9:259
ARM,INJ_NFTL_ECO_RT,EB:176,ECO_AGGREGATE_TOTAL,2013,45.79,,,T13:149_T14:156_I2:1681,S8:1619_S9:66
ARM,INJ_NFTL_ECO_RT,EB:176,ECO_ISIC4_TOTAL,2013,45.79,,,T13:149_T14:156_I2:1681,S8:1619_S9:66
ARM,INJ_NFTL_ECO_RT,EB:176,ECO_AGGREGATE_TOTAL,2018,50,,,T13:149_T14:156,S14:4077_S8:1619_S9:66_S10:73
ARM,INJ_NFTL_ECO_RT,EB:176,ECO_ISIC4_TOTAL,2018,50,,,T13:149_T14:156,S14:4077_S8:1619_S9:66_S10:73
ARM,INJ_NFTL_ECO_RT,EB:176,ECO_AGGREGATE_TOTAL,2019,35.06,,,T13:149_T14:156,S14:4077_S8:1619_S9:66_S10:73
ARM,INJ_NFTL_ECO_RT,EB:176,ECO_ISIC4_TOTAL,2019,35.06,,,T13:149_T14:156,S14:4077_S8:1619_S9:66_S10:73
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_AGGREGATE_TOTAL,2009,986.14,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_TOTAL,2009,986.14,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_A,2009,2022.63,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_B,2009,2101.17,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_C,2009,1243.15,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_D,2009,1686.98,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_E,2009,391.98,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_F,2009,1693.86,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_G,2009,765.58,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_H,2009,915.24,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_I,2009,1390.23,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_J,2009,213.5,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_K,2009,652.46,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_L,2009,843.07,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_M,2009,483.26,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_N,2009,1041.31,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_O,2009,706.41,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_P,2009,1207.9,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_ISIC3_Q,2009,848.03,,,T13:150_T14:154_I4:216_I2:1510,S3:26
AUS,INJ_NFTL_ECO_RT,FA:775,ECO_AGGREGATE_TOTAL,2010,912.5,,,T13:150_T14:154_I4:216_I2:1510,S3:26
